movie_name,id,short_comment,score,comment_time,votes
神奇动物：邓布利多之谜,Aaron Quill Tu,这一部算是三部曲的完结篇，前面很多伏笔都在这一部进行了回收，比如阿莉安娜·邓布利多的具体死因、克雷登斯的身世、格林德沃的野心与邪恶计划、奎妮和雅各布的爱情线等，当然也包括很多系列粉丝关注的加勒特·格林德沃和阿不思·邓布利多的血盟感情。约翰尼·德普因为私人原因退出饰演格林德沃，改由麦斯·米科尔森来演绎，似乎后者比前者多了些绅士风与狠劲，少了些疯狂感和与邓布利多的CP感，算是一点遗憾。不过神奇动物的戏份却一点都没少，斯卡曼德兄弟与众多神奇动物的互动贡献了主要笑点，这几位主角的情感线似乎都已经完结，在这一部中没有什么发展。值得一提的是这一部首次完整地讲好了一个比较简单的故事，这是比前两部电影更好的地方。,4,2022-04-08 04:41:17,11
神奇动物：邓布利多之谜,末药煎肉塔,比上一部好看很多，尤其喜欢邓布利多对战Credence和和纽特救哥哥这两场的设计，前期的分线做任务式剧情也有悬念，到了后面选举和麒麟啥的实在是太过儿戏，看得几次笑出来（但是想想今天荒诞的世界竟然也有点应景）。。以及，看的过程中始终浮现一个感觉，如果不是有IP的加成，这类故事内核已经开始过时了,4,2022-04-08 19:11:39,9
神奇动物：邓布利多之谜,迪斯雷利医生,哎，这是啥电影，这特么就是大型离婚现场。吃瓜吃得我口水从眼睛里流出来。,4,2022-04-18 01:57:20,16
神奇动物：邓布利多之谜,Stephy,魔法世界永远值得五星,5,2022-04-23 13:30:01,8
神奇动物：邓布利多之谜,流光溢彩`,我的妈呀，邓教授开场直接表白！还有重回霍格沃兹！经典台词“always”重现！官方各种自造重磅炸弹啊！餐厅呼风唤雨的打斗也太有想象力了！邓布利多和克雷登斯、格林德沃的两战也很精彩！最好的一部《神奇动物》！幽默元素也回归了好多。女主怎么拍着拍着成客串了？有点想念德普！血盟原来就是铁男大招啊！系列进行至今主心骨越来越明确，就是标题神奇动物卖萌打辅助，主讲粉丝最关心的第一次魔法战争时期的GGAD。粉丝狂喜！！！！！！！,5,2022-06-27 17:16:00,6
神奇动物：邓布利多之谜,张春[阿卡纳],其中几个魔法场面 已让我心满意足,4,2022-04-09 00:14:28,6
神奇动物：邓布利多之谜,Annora,邓布利多的秘密终于不再是秘密，以及他最后释然的笑容和独自一人的背影太戳我了。,5,2022-04-08 22:48:07,19
神奇动物：邓布利多之谜,IVancy,终终终于去看了神奇动物3（一大堆影评说是大烂片，不敢去看，其实就…还好）片尾最后一幕真的是刀：纽约的雪夜，孤零零一个人坐在夜幕下的长椅上，雪花落寞的在身边飘下。马路对面是灯火通明的面包店，里面欢声笑语，空气里都是甜的。血盟已碎，终于没有借口不去正面对抗自己曾经的爱人了。,4,2022-05-09 19:58:11,8
神奇动物：邓布利多之谜,Mona Lishark,虽然几乎感受不到人物之间的联结，还是很喜欢，如见老友。,4,2022-04-09 18:38:12,4
神奇动物：邓布利多之谜,初尘,surprisingly ok…裘德洛和汉尼拔叔都认真 演技从眼睛里溢出来了 血盟的逻辑可以 合理 甚至 在这样的时局 仅仅见到纽特就已经很安慰 心里甚至还有委屈 但即便如此 我永远怨恨大卫耶茨 永远怨恨他给盖勒特格林德沃篡改的结局,4,2022-04-09 04:32:34,1
